Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
22nd;93;Sindre Nilsen Østensjø;CK Haugaland;Gutter 15-16;;;8:03.27;19;8:22.30;23;;;6:18.95;24;1:39.98;27;24:24.50;+6:37.09;M
23rd;83;Sjur Holo Leikarnes;Molde CK;Gutter 15-16;;;8:49.35;26;9:01.10;26;;;5:13.84;20;1:26.58;22;24:30.87;+6:43.46;M
24th;66;Eirik Orby Norheim;;Gutter 15-16;;;8:45.07;25;8:58.90;25;;;5:49.80;23;1:34.63;24;25:08.40;+7:20.99;M
25th;82;Timian Nimki Lie;Hafrsfjord SK;Gutter 15-16;;;8:16.07;21;8:22.02;22;;;8:00.15;28;1:32.60;23;26:10.84;+8:23.43;M
26th;101;Wetle Martinius Nielsen- Svanum;;Gutter 15-16;;;9:01.18;28;9:59.47;28;;;7:05.31;27;1:39.38;26;27:45.34;+9:57.93;M
27th;87;Vetle Johansson;Hafrsfjord SK;Gutter 15-16;;;8:56.22;27;8:07.30;20;;;9:47.08;29;1:17.30;17;28:07.90;+10:20.49;M
28th;91;Eirik Baarli-Evenstuen;Aron Sportsklubb;Gutter 15-16;;;10:40.46;31;11:14.80;29;;;6:37.05;25;1:52.53;29;30:24.84;+12:37.43;M
29th;92;David Syversen-Taje;;Gutter 15-16;;;9:59.72;29;12:12.70;30;;;6:56.10;26;1:47.08;28;30:55.60;+13:08.19;M
;106;Ferdinand Danielsen;Hafrsfjord SK;Gutter 15-16;;;10:13.40;30;9:15.52;27;;;;DNF;;DNS;DNF;;M
;71;John Holtan;;Gutter 15-16;;;8:16.34;22;15:57.15;31;;;;DNF;;DNS;DNF;;M
;88;Edvald Bang-Johansen;IF Frøy;Gutter 15-16;;;;DNF;;DNS;;;;DNS;;DNS;DNF;;M
;70;Olav Holmøy Sevaldson;SK Rye sykkel;Gutter 15-16;;;;;;;;;;;;;DNS;;M
;90;Alexander Rogstad;Sande SpKl Sykkel;Gutter 15-16;;;;;;;;;;;;;DNS;;M
;95;Tallak Sorteberg;Bergen CK;Gutter 15-16;;;;;;;;;;;;;DNS;;M
;89;Theo Stokkebokjær Hjelseth;SK Rye sykkel;Gutter 15-16;;;;;;;;;;;;;DNS;;M
;74;Ludvik Lærum Bentzen;SK Rye sykkel;Gutter 15-16;;;;;;;;;;;;;DNS;;M
;84;Sondre Loeng Svendsen;SK Rye sykkel;Gutter 15-16;;;;;;;;;;;;;DNS;;M
;79;Sverre Granviken;SK Rye sykkel;Gutter 15-16;;;;;;;;;;;;;DNS;;M
;77;Olander Hjelset Lund;Molde CK;Gutter 15-16;;;;;;;;;;;;;DNS;;M
;81;Håkon Henning;SK Rye sykkel;Gutter 15-16;;;;;;;;;;;;;DNS;;M
1st;302;Trym Guttormsen;;Menn funduro;;;8:40.60;2;8:29.10;2;;;5:51.01;1;1:33.37;3;24:34.08;;M
2nd;303;Øyvind Fossbakk;;Menn funduro;;;8:53.10;3;8:28.32;1;;;6:17.29;3;1:28.28;1;25:06.99;+0:32.91;M
3rd;305;Vetle Lie Karlsen;Re SK;Menn funduro;;;8:40.22;1;9:14.07;3;;;6:07.05;2;1:31.38;2;25:32.72;+0:58.64;M
4th;306;Kjetil Løvaas;Holmestrand SK;Menn funduro;;;9:47.13;4;9:32.20;4;;;6:23.22;4;1:40.29;4;27:22.84;+2:48.76;M
5th;300;Christian Arnesen;;Menn funduro;;;9:51.51;5;9:37.75;5;;;8:06.22;5;2:03.55;5;29:39.03;+5:04.95;M
6th;301;Torjus Engell;;Menn funduro;;;10:38.62;6;9:49.66;6;;;8:54.85;6;2:07.58;6;31:30.71;+6:56.63;M
;308;Martin Ehrnst;SK Rye sykkel;Menn funduro;;;;;;;;;;;;;DNS;;M
;304;Jonas Keitel;Hafrsfjord SK;Menn funduro;;;;;;;;;;;;;DNS;;M
;307;Tom Jakobsen;Hafrsfjord SK;Menn funduro;;;;;;;;;;;;;DNS;;M
1st;310;William Midtskogen ;Aron Sportsklubb;Menn funduro EL-sykkel;;;8:07.06;1;7:21.39;1;;;5:00.06;2;1:16.90;2;21:45.41;;M
2nd;309;Fredrich Mitchell;;Menn funduro EL-sykkel;;;8:33.85;4;7:45.61;2;;;4:57.09;1;1:15.50;1;22:32.05;+0:46.64;M
3rd;311;Jan Lunde;;Menn funduro EL-sykkel;;;8:14.65;2;8:04.28;4;;;5:16.10;4;1:20.39;3;22:55.42;+1:10.01;M
4th;312;Steffen Moy;;Menn funduro EL-sykkel;;;8:19.10;3;8:00.67;3;;;5:15.15;3;1:22.65;4;22:57.57;+1:12.16;M
1st;35;Vilje Eilertsen;Aron Sportsklubb;Jenter 13-14;;;;;8:13.13;1;;;5:15.16;1;1:17.93;1;14:46.22;;F
;36;Astrid Melheim;Sogn CK;Jenter 13-14;;;;;10:04.26;2;;;;DNF;;DNS;;;M
1st;39;Hugo Gabart-Gill;Hafrsfjord SK;Gutter 13-14;;;;;7:18.68;3;;;4:31.46;1;1:09.85;1;12:59.99;;M
2nd;56;Lars Torvestad;Hafrsfjord SK;Gutter 13-14;;;;;7:06.17;1;;;4:50.30;5;1:11.50;2;13:07.97;+0:07.98;M
3rd;43;Gustav Hoddell;Hafrsfjord SK;Gutter 13-14;;;;;7:08.19;2;;;4:48.06;4;1:13.60;3;13:09.85;+0:09.86;M
4th;55;Ludvik Weirud Engrønningen;Aron Sportsklubb;Gutter 13-14;;;;;7:27.82;4;;;4:39.85;2;1:20.80;5;13:28.47;+0:28.48;M
5th;64;Nils Andersen Feyling;Grimstad SK;Gutter 13-14;;;;;7:36.50;5;;;4:45.35;3;1:17.33;4;13:39.18;+0:39.19;M
6th;37;Thomas Wiel Bjørkøy;CK Nittedal;Gutter 13-14;;;;;7:55.79;9;;;5:15.81;9;1:26.64;9;14:38.24;+1:38.25;M
7th;44;Hermann Geiger;Hafrsfjord SK;Gutter 13-14;;;;;7:53.02;8;;;5:23.10;10;1:31.86;14;14:47.98;+1:47.99;M
8th;38;Jonathan Thrones Kirkelund;Bærum OCK;Gutter 13-14;;;;;7:50.82;7;;;5:38.00;13;1:24.00;7;14:52.82;+1:52.83;M
9th;51;Aksel Røyrvik Lunde;Molde CK;Gutter 13-14;;;;;8:22.95;12;;;5:10.55;7;1:23.73;6;14:57.23;+1:57.24;M
10th;50;Lars Oftedal;Hafrsfjord SK;Gutter 13-14;;;;;8:07.83;10;;;5:15.46;8;1:42.85;19;15:06.14;+2:06.15;M
11th;58;Henrik Sandbakken;CK Nittedal;Gutter 13-14;;;;;8:22.65;11;;;5:30.55;12;1:24.91;8;15:18.11;+2:18.12;M
12th;53;Mio Nielman;Bærum OCK;Gutter 13-14;;;;;8:33.51;13;;;5:23.60;11;1:26.90;10;15:24.01;+2:24.02;M
13th;45;Kaleo Frisvold;Bærum OCK;Gutter 13-14;;;;;8:35.12;14;;;5:44.71;15;1:31.20;13;15:51.03;+2:51.04;M
14th;3;Emil Holtbakk Berntzen;Aron Sportsklubb;Gutter 13-14;;;;;8:45.10;15;;;5:46.05;16;1:27.25;11;15:58.40;+2:58.41;M
15th;40;Trym Undheim;Hafrsfjord SK;Gutter 13-14;;;;;7:43.43;6;;;5:02.90;6;3:42.10;26;16:28.43;+3:28.44;M
16th;54;Kristian Sandbakken;CK Nittedal;Gutter 13-14;;;;;9:10.87;18;;;5:43.64;14;1:33.95;15;16:28.46;+3:28.47;M
17th;57;Ludvig Høyland;Re SK;Gutter 13-14;;;;;9:11.82;19;;;5:48.30;17;1:30.38;12;16:30.50;+3:30.51;M
18th;63;Jesper Omdal Gåsøy;Hafrsfjord SK;Gutter 13-14;;;;;9:01.46;17;;;5:54.75;18;1:38.30;17;16:34.51;+3:34.52;M
19th;61;Viljar Halvorsen;;Gutter 13-14;;;;;9:01.32;16;;;6:05.10;19;1:34.27;16;16:40.69;+3:40.70;M
20th;59;Alexander Syrstad;;Gutter 13-14;;;;;10:06.85;22;;;6:30.21;20;1:40.37;18;18:17.43;+5:17.44;M
21st;52;Samson Varpe;Hafrsfjord SK;Gutter 13-14;;;;;10:04.90;21;;;6:38.90;21;1:55.56;22;18:39.36;+5:39.37;M
22nd;47;Håkon Reiten;Bærum OCK;Gutter 13-14;;;;;10:20.72;23;;;6:59.40;23;1:47.28;20;19:07.40;+6:07.41;M
23rd;62;Herman Edvardsen Prestmarken Ringerike SK;;Gutter 13-14;;;;;10:03.84;20;;;7:34.45;24;1:57.66;23;19:35.95;+6:35.96;M
24th;41;Jakob Steira Bjerkli;CK Nittedal;Gutter 13-14;;;;;11:59.02;26;;;6:56.25;22;1:52.61;21;20:47.88;+7:47.89;M
25th;48;Petter Krohn;Bærum OCK;Gutter 13-14;;;;;11:26.50;25;;;7:59.15;25;2:08.95;24;21:34.60;+8:34.61;M
26th;60;Markus Finnerud Olsen;Asker CK;Gutter 13-14;;;;;13:42.05;27;;;10:00.54;26;2:17.33;25;25:59.92;+12:59.93;M
;42;Iver Krogsveen;CK Nittedal;Gutter 13-14;;;;;11:05.47;24;;;;DNF;;DNS;DNF;;M
;49;Ulrik Loeng Svendsen;SK Rye sykkel;Gutter 13-14;;;;;;;;;;;;;DNS;;M
;46;Sverre Sevaldson;SK Rye sykkel;Gutter 13-14;;;;;;;;;;;;;DNS;;M
