Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
29th;260;Stian Stenkjær;Aron Sportsklubb;Menn senior 19+;5:40.67;33;4:33.33;31;7:14.35;34;4:09.57;30;5:48.05;29;1:17.30;27;28:43.27;+6:25.00;M
30th;242;Niclas Johansen;Stovnerkameratene;Menn senior 19+;5:22.69;30;4:47.68;34;7:11.28;33;4:18.84;32;5:51.62;30;1:22.52;30;28:54.63;+6:36.36;M
31st;249;Martin Borge Olsen;Aron Sportsklubb;Menn senior 19+;4:52.04;20;4:01.56;19;6:22.16;20;9:24.63;35;5:17.98;22;1:11.40;19;31:09.77;+8:51.50;M
32nd;240;Jo Henrik Egeland Jarstø;Tasta & omegn sykkelklubb;Menn senior 19+;5:57.68;34;4:52.64;35;7:41.55;35;4:58.91;34;6:37.79;33;1:23.55;31;31:32.12;+9:13.85;M
;247;Sigurd Bjørndalen Mathisen;Aron Sportsklubb;Menn senior 19+;5:12.60;26;4:34.29;32;7:04.06;31;4:02.96;27;6:16.60;32;;DNF;DNF;;M
;254;Simon Risan;NTNUI;Menn senior 19+;5:28.78;32;4:13.35;24;6:49.90;29;4:31.00;33;6:46.92;34;;DNF;DNF;;M
;229;Tobias Bjerknes;CK Nittedal;Menn senior 19+;5:01.06;23;4:24.95;30;6:46.53;27;4:00.23;23;6:50.68;35;;DNF;DNF;;M
1st;2;Emily Skeie-Lebreux;CK Nittedal;Jenter 13-14;1:44.48;1;;;;;4:29.83;1;6:16.13;1;1:24.35;1;13:54.79;;F
1st;41;Storm Eilertsen;Aron SK;Gutter 13-14;1:31.65;3;;;;;3:45.94;1;5:22.47;2;1:06.57;2;11:46.63;;M
2nd;25;Mikkel Skotte Lauritzen;SK Rye sykkel;Gutter 13-14;1:41.27;13;;;;;3:52.81;4;5:15.08;1;1:06.39;1;11:55.55;+0:08.92;M
3rd;33;Bård Gujord Røisli;CK Nittedal;Gutter 13-14;1:34.07;4;;;;;3:52.02;3;5:22.91;3;1:08.38;3;11:57.38;+0:10.75;M
4th;16;Sune Bjerke;;Gutter 13-14;1:30.61;2;;;;;3:46.85;2;5:43.68;6;1:13.23;5;12:14.37;+0:27.74;M
5th;19;Martin Glamsland Stoveland;Kristiansands CK;Gutter 13-14;1:34.85;5;;;;;3:55.59;5;5:33.67;4;1:15.75;8;12:19.86;+0:33.23;M
6th;28;Marius Melbø Nakken;Molde ck;Gutter 13-14;1:34.90;6;;;;;4:01.25;8;5:50.58;9;1:15.20;7;12:41.93;+0:55.30;M
7th;31;David Risberg;Sandefjord SK;Gutter 13-14;1:35.38;7;;;;;4:00.18;7;5:55.00;11;1:13.68;6;12:44.24;+0:57.61;M
8th;34;Torjus Sandvik-Are;SK Rye sykkel;Gutter 13-14;1:37.21;9;;;;;4:06.00;10;5:47.83;7;1:15.78;9;12:46.82;+1:00.19;M
9th;17;Malte Andreas Torp Bure;Gifs;Gutter 13-14;1:37.34;10;;;;;4:05.54;9;5:39.54;5;1:25.54;18;12:47.96;+1:01.33;M
10th;22;Emil Hernes;Fossum IF Sykkel;Gutter 13-14;1:35.58;8;;;;;4:09.20;11;5:50.13;8;1:20.41;13;12:55.32;+1:08.69;M
11th;30;Tobias Haugen Opsahl;Asker CK;Gutter 13-14;1:40.75;11;;;;;4:14.60;12;5:59.96;12;1:20.45;14;13:15.76;+1:29.13;M
12th;18;Joakim Eide Falch;SK Rye sykkel;Gutter 13-14;1:42.29;15;;;;;4:26.89;16;5:53.50;10;1:16.62;10;13:19.30;+1:32.67;M
13th;21;Aleksander Haugerudbråten;Kristiansands CK;Gutter 13-14;1:44.45;16;;;;;4:15.16;13;6:01.65;13;1:18.59;12;13:19.85;+1:33.22;M
14th;15;Ludvik Lærum Bentzen;SK Rye sykkel;Gutter 13-14;1:41.14;12;;;;;4:16.45;14;6:02.69;14;1:21.29;15;13:21.57;+1:34.94;M
15th;39;Sølve Berge Taugbøl;Solum TSK;Gutter 13-14;1:42.25;14;;;;;4:16.93;15;6:29.06;15;1:18.51;11;13:46.75;+2:00.12;M
16th;36;Oliver Siversen;Bærum OCK;Gutter 13-14;1:44.57;17;;;;;4:34.44;18;6:32.53;16;1:26.95;19;14:18.49;+2:31.86;M
17th;23;Sindre Hynne-Øye;CK Nittedal;Gutter 13-14;2:02.20;22;;;;;4:29.19;17;6:39.55;17;1:22.07;16;14:33.01;+2:46.38;M
18th;37;Andreas Aaserød Staff;IF Frøy;Gutter 13-14;1:47.13;18;;;;;4:39.25;19;6:51.48;20;1:24.43;17;14:42.29;+2:55.66;M
19th;24;Leopold Klemet Kollerud;Lillehammer CK;Gutter 13-14;1:52.21;19;;;;;5:05.84;21;6:39.75;18;1:31.79;20;15:09.59;+3:22.96;M
20th;29;Mikkel August Myrvold;SK Rye sykkel;Gutter 13-14;1:56.67;21;;;;;5:01.33;20;6:51.45;19;1:36.50;21;15:25.95;+3:39.32;M
21st;32;Alexander Rogstad;Sande SpKl Sykkel;Gutter 13-14;1:27.90;1;;;;;3:56.00;6;9:18.87;21;1:12.47;4;15:55.24;+4:08.61;M
;35;Sixten Magnus Schybergson;SK Rye sykkel;Gutter 13-14;1:56.03;20;;;;;;DNS;;DNS;;DNS;DNF;;M
;27;Shawn Alexander Marcussen;IF Frøy;Gutter 13-14;;DNF;;;;;;DNS;;DNS;;DNS;DNF;;M
;40;Fredrik Funderud Wedum;Lillehammer CK;Gutter 13-14;;DNS;;;;;;DNS;;DNS;;DNS;DNS;;M
;26;Peder Lid-Strand;IF Frøy;Gutter 13-14;;DNS;;;;;;DNS;;DNS;;DNS;DNS;;M
;20;Gustav Strand Gulsrud;SK Rye sykkel;Gutter 13-14;;DNS;;;;;;DNS;;DNS;;DNS;DNS;;M
;38;Even Stensland;Modum CK;Gutter 13-14;;DNS;;;;;;DNS;;DNS;;DNS;DNS;;M
1st;3;Tatiana Furnes;Bærum OCK;Jenter 15-16;;;;;7:26.57;1;4:20.25;1;6:11.08;1;1:23.81;1;19:21.71;;F
2nd;4;Maren Stærkebye-Ellingsen;Modum CK;Jenter 15-16;;;;;8:37.82;2;5:03.96;2;7:25.68;2;1:36.03;2;22:43.49;+3:21.78;F
1st;50;Noah Heieren;SK Rye sykkel;Gutter 15-16;;;;;05:45.93;1;3:25.39;1;4:43.32;1;1:01.37;2;14:56.01;;M
2nd;64;Markus Skeie-Lebreux;CK Nittedal;Gutter 15-16;;;;;6:07.72;2;3:28.85;2;5:02.06;2;1:01.15;1;15:39.78;+0:43.77;M
3rd;61;Eskil Oudalstøl;Kristiansands CK;Gutter 15-16;;;;;6:13.29;4;3:32.19;3;5:02.20;3;1:07.83;5;15:55.51;+0:59.50;M
4th;52;Laurits Kjøpstad Høgset;Molde CK;Gutter 15-16;;;;;6:12.18;3;3:36.16;4;5:08.97;4;1:06.42;4;16:03.73;+1:07.72;M
5th;67;Felix Tho Sveva;Sandefjord SK;Gutter 15-16;;;;;6:30.70;6;3:43.08;5;5:09.65;5;1:05.63;3;16:29.06;+1:33.05;M
6th;57;Oskar Myro;SK Rye sykkel;Gutter 15-16;;;;;6:42.72;10;3:44.50;6;5:19.62;6;1:10.33;9;16:57.17;+2:01.16;M
7th;46;Berg Skeie Bjørnsson;Kristiansands CK;Gutter 15-16;;;;;6:31.03;7;3:50.79;7;5:25.03;9;1:11.75;11;16:58.60;+2:02.59;M
8th;66;Lars Teigland Støre;Bærum OCK;Gutter 15-16;;;;;6:34.92;9;3:52.33;10;5:24.68;8;1:09.83;8;17:01.76;+2:05.75;M
9th;48;Simen Føsker;Lørenskog CK;Gutter 15-16;;;;;6:30.25;5;3:54.40;11;5:26.62;10;1:11.53;10;17:02.80;+2:06.79;M
10th;53;Christopher Jansen;Bærum OCK;Gutter 15-16;;;;;6:34.38;8;3:52.25;9;5:24.65;7;1:12.83;13;17:04.11;+2:08.10;M
11th;54;William Johnsen;IF Frøy;Gutter 15-16;;;;;6:44.75;11;4:00.54;12;5:43.04;12;1:09.34;7;17:37.67;+2:41.66;M
12th;119;William Verstad Stubergh;Mysen IF;Gutter 15-16;;;;;7:02.71;12;4:04.34;13;5:34.89;11;1:07.99;6;17:49.93;+2:53.92;M
13th;45;Adrian Van Lengen Berge;SK Rye sykkel;Gutter 15-16;;;;;7:02.92;13;3:52.00;8;5:58.15;17;1:12.35;12;18:05.42;+3:09.41;M
14th;44;Sondre Oldervik Andersen;IF Frøy;Gutter 15-16;;;;;7:08.38;14;4:08.70;14;5:49.04;14;1:15.03;14;18:21.15;+3:25.14;M
15th;47;Jon Vassbø Eid;Lørenskog CK;Gutter 15-16;;;;;7:17.76;16;4:13.46;15;5:55.02;16;1:17.25;16;18:43.49;+3:47.48;M
16th;62;William Petersen;Hafrsfjord SK;Gutter 15-16;;;;;7:29.33;18;4:15.50;16;5:48.45;13;1:15.85;15;18:49.13;+3:53.12;M
17th;43;Teodor Johnsen Alexander;IF Frøy;Gutter 15-16;;;;;7:15.79;15;4:35.33;21;5:54.07;15;1:22.50;20;19:07.69;+4:11.68;M
18th;56;Kasper Thingelstad Mayer;Modum CK;Gutter 15-16;;;;;7:37.37;19;4:20.07;18;6:15.36;19;1:23.95;21;19:36.75;+4:40.74;M
19th;60;Jonathan Olsen;SK Rye sykkel;Gutter 15-16;;;;;7:29.15;17;4:35.39;22;6:10.38;18;1:22.30;19;19:37.22;+4:41.21;M
20th;49;Ulrik Ølund Gerner;Bærum OCK;Gutter 15-16;;;;;7:38.83;20;4:21.28;19;6:17.90;20;1:22.20;18;19:40.21;+4:44.20;M
21st;42;Amar Agovic;;Gutter 15-16;;;;;7:41.95;21;4:28.65;20;6:26.80;21;1:26.87;22;20:04.27;+5:08.26;M
22nd;65;Emrik Strømstad;Hafrsfjord SK;Gutter 15-16;;;;;7:47.68;22;4:19.58;17;6:49.35;22;1:20.25;17;20:16.86;+5:20.85;M
;58;Miko Nyborg;;Gutter 15-16;;;;;8:34.32;23;5:07.90;23;;DNF;;DNF;DNF;;M
;63;Jørgen Sanden;Hafrsfjord SK;Gutter 15-16;;;;;46:40.52;24;;DNF;;DNS;;DNS;DNF;;M
;59;Adam O'reilly;Lillehammer CK;Gutter 15-16;;;;;;DNS;;DNS;;DNS;;DNS;DNS;;M
;51;Fabian Helle;Drammen CK;Gutter 15-16;;;;;;DNS;;DNS;;DNS;;DNS;DNS;;M
;55;Wilhelm Klemet Kollerud;Lillehammer CK;Gutter 15-16;;;;;;DNS;;DNS;;DNS;;DNS;DNS;;M
