Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
3rd;1276;Christian Granbakken;Hemsedal IL Sykkel;Menn Senior 19+;3:29.18;8;4:30.50;4;4:21.13;2;6:16.41;3;3:59.10;3;1:03.10;3;23:39.42;+0:47.66;M
4th;1173;Jonas Oudalstøl;Kristiansands CK;Menn Senior 19+;3:23.16;3;4:49.81;6;4:43.18;5;6:24.45;4;4:01.79;5;1:05.41;7;24:27.80;+1:36.04;M
5th;1172;Erlend Hegrum Askjer;;Menn Senior 19+;3:31.66;10;4:41.11;5;4:32.02;4;6:42.02;8;4:04.33;6;1:05.12;5;24:36.26;+1:44.50;M
6th;1144;Henrik Falkenberg Dokset;NTNUI Enduro;Menn Senior 19+;3:18.60;2;4:53.14;7;4:51.81;12;6:34.65;6;4:04.41;7;1:05.95;10;24:48.56;+1:56.80;M
7th;1141;Ola Jåvold Landmark;Bærum OCK;Menn Senior 19+;3:28.18;6;5:01.50;11;4:53.00;13;6:31.50;5;3:59.71;4;1:06.51;11;25:00.40;+2:08.64;M
8th;1138;Thomas Rambekk Henriksen;Herkules IF;Menn Senior 19+;3:29.05;7;4:56.89;9;4:46.67;9;6:39.77;7;4:07.64;8;1:03.47;4;25:03.49;+2:11.73;M
9th;1261;Jørn Huseby;Aron Sportsklubb;Menn Senior 19+;3:31.25;9;4:58.96;10;4:44.05;6;6:51.35;9;4:17.00;12;1:09.50;16;25:32.11;+2:40.35;M
10th;1150;Lars Dreyer;Hafrsfjord SK;Menn Senior 19+;3:41.65;18;4:54.58;8;4:44.56;7;6:54.63;10;4:11.00;9;1:08.78;14;25:35.20;+2:43.44;M
11th;1176;Sindre Martin Moe Sollund;Molde CK;Menn Senior 19+;3:54.96;24;5:04.69;12;4:54.85;14;6:59.89;11;4:16.44;11;1:05.64;8;26:16.47;+3:24.71;M
12th;1249;Niklas Halvorsen;Kristiansands CK;Menn Senior 19+;3:39.40;16;5:34.53;20;4:49.22;10;7:01.86;13;4:12.91;10;1:05.87;9;26:23.79;+3:32.03;M
13th;1136;Andreas Horten;;Menn Senior 19+;3:54.96;24;5:08.85;14;4:45.62;8;7:09.77;15;4:21.04;17;1:08.28;13;26:28.52;+3:36.76;M
14th;1147;Simon Risan;NTNUI;Menn Senior 19+;3:58.95;27;5:06.92;13;4:49.90;11;7:13.14;16;4:18.75;14;1:05.18;6;26:32.84;+3:41.08;M
15th;1155;Henrik Langeland Nielsen;Kristiansands CK;Menn Senior 19+;3:35.36;14;5:15.32;15;5:16.97;18;7:07.21;14;4:18.21;13;1:09.19;15;26:42.26;+3:50.50;M
16th;92;Kaspar Strand Kvalø;;Menn Senior 19+;3:33.53;11;5:44.35;25;5:23.77;20;7:00.25;12;4:20.34;16;1:12.35;19;27:14.59;+4:22.83;M
17th;1143;Tobias Bjerknes;CK Nittedal;Menn Senior 19+;3:46.36;21;5:23.76;18;5:10.65;16;7:40.68;24;4:34.64;20;1:15.07;27;27:51.16;+4:59.40;M
18th;1246;Gard Johannes Gauteplass;BDO;Menn Senior 19+;3:34.60;13;5:37.39;22;5:32.16;25;7:28.95;20;4:26.00;18;1:12.85;21;27:51.95;+5:00.19;M
19th;1268;Martin Kvisler;Trysil SK;Menn Senior 19+;3:34.34;12;6:04.98;32;5:13.29;17;7:23.06;19;4:36.56;22;1:10.90;17;28:03.13;+5:11.37;M
20th;1140;Maximilian Freiheit;Fahrbar Bikes;Menn Senior 19+;4:00.03;29;5:34.90;21;5:31.09;24;7:18.37;17;4:46.06;29;1:12.62;20;28:23.07;+5:31.31;M
21st;1185;Simon Nysæter;NTNUI;Menn Senior 19+;3:39.44;17;5:18.20;16;6:42.64;37;7:21.03;18;4:26.86;19;1:11.00;18;28:39.17;+5:47.41;M
22nd;1258;Erik Jarledal;;Menn Senior 19+;3:59.95;28;5:52.47;26;5:30.72;23;7:37.70;23;4:38.10;23;1:19.58;33;28:58.52;+6:06.76;M
23rd;1161;Eskild Carlsen;NTNUI;Menn Senior 19+;3:50.51;22;6:00.90;29;5:40.25;28;7:48.72;25;4:42.33;27;1:13.12;22;29:15.83;+6:24.07;M
24th;1277;Luca D'Angelo;;Menn Senior 19+;3:54.64;23;5:55.82;27;5:26.10;22;8:07.10;30;4:38.80;25;1:14.55;26;29:17.01;+6:25.25;M
25th;1205;Daniel Jarstø;Hafrsfjord SK;Menn Senior 19+;3:55.22;26;5:22.85;17;5:59.25;33;7:49.78;26;4:53.89;31;1:17.36;28;29:18.35;+6:26.59;M
26th;1269;Adrian Moa;Namdal SK;Menn Senior 19+;4:26.88;40;6:12.72;33;5:08.88;15;8:05.69;29;4:18.86;15;1:07.22;12;29:20.25;+6:28.49;M
27th;1271;Anders Anker-Rasch;Bærum OCK;Menn Senior 19+;3:37.88;15;5:43.32;24;5:24.67;21;9:29.77;37;4:38.56;24;1:14.27;24;30:08.47;+7:16.71;M
28th;1151;Øystein Håvarstein;Mississippiskogen sti & terrengsykkellag;Menn Senior 19+;4:19.23;35;6:03.06;31;6:02.10;34;8:04.88;28;4:39.40;26;1:13.40;23;30:22.07;+7:30.31;M
29th;1186;Marius Minster;Soon CK;Menn Senior 19+;4:34.54;42;5:40.58;23;5:23.55;19;9:00.91;36;4:48.21;30;1:17.89;29;30:45.68;+7:53.92;M
30th;1194;Joakim Wilkens Jernberg;NTNUI Enduro/Whiptyscoop;Menn Senior 19+;4:07.81;31;6:19.25;34;5:42.10;30;8:25.89;33;5:09.25;34;1:19.06;32;31:03.36;+8:11.60;M
31st;1116;Jakub Kristof;Oslo Sykleklubb;Menn Senior 19+;4:06.65;30;6:40.98;37;5:58.08;32;8:03.63;27;4:58.35;33;1:18.45;30;31:06.14;+8:14.38;M
32nd;1270;Olav Helland Stenersen;Ryfylke SK;Menn Senior 19+;4:24.84;38;6:23.66;35;5:40.95;29;8:11.34;31;5:12.69;35;1:23.35;34;31:16.83;+8:25.07;M
33rd;1272;Nanne Kuiperi;;Menn Senior 19+;7:26.25;46;5:25.62;19;5:34.48;26;7:32.60;21;4:34.87;21;1:14.27;24;31:48.09;+8:56.33;M
34th;1135;Henning Borgersen;Hafrsfjord SK;Menn Senior 19+;4:20.15;37;6:58.78;38;6:38.12;36;8:39.81;34;5:26.04;37;1:39.35;40;33:42.25;+10:50.49;M
35th;2005;Full Enduro;;Menn Senior 19+;0:07.39;1;0:07.02;1;9:35.86;43;14:46.63;44;6:49.28;42;2:46.59;43;34:12.77;+11:21.01;M
36th;1125;Douglas Thom;;Menn Senior 19+;4:18.72;34;9:45.03;45;5:51.05;31;8:11.64;32;4:43.28;28;1:23.58;35;34:13.30;+11:21.54;M
37th;1256;Matthew Geraghty;IL Heming - sykkelgruppe;Menn Senior 19+;4:49.10;43;7:38.75;39;6:24.02;35;8:45.11;35;5:25.96;36;1:24.80;36;34:27.74;+11:35.98;M
38th;1274;Rune Aasprong;Asker CK;Menn Senior 19+;4:19.62;36;6:25.16;36;7:07.77;40;9:55.16;40;5:41.37;38;1:28.43;37;34:57.51;+12:05.75;M
39th;1123;Andreas Gynnild;;Menn Senior 19+;4:56.96;44;7:44.66;41;7:02.88;39;9:40.50;39;5:59.30;41;1:30.86;38;36:55.16;+14:03.40;M
40th;1204;Jo Henrik Egeland Jarstø;Tasta & omegn sykkelklubb;Menn Senior 19+;4:31.10;41;8:11.08;43;7:42.96;41;9:38.80;38;5:57.55;40;1:32.78;39;37:34.27;+14:42.51;M
41st;1220;Martin Ehrnst;Svetth;Menn Senior 19+;4:25.56;39;7:42.82;40;6:45.93;38;12:30.25;43;5:52.91;39;1:39.88;41;38:57.35;+16:05.59;M
42nd;1278;Simen Hansen;;Menn Senior 19+;5:15.80;45;7:58.31;42;8:13.62;42;12:04.11;42;7:07.85;43;1:59.80;42;42:39.49;+19:47.73;M
43rd;1201;Emil Neby;Fossum IF Sykkel;Menn Senior 19+;3:42.94;19;6:02.00;30;25:45.32;44;7:36.16;22;4:55.00;32;1:18.50;31;49:19.92;+26:28.16;M
;1133;Fredrik Jansson;;Menn Senior 19+;4:09.75;32;5:57.63;28;5:36.80;27;10:37.30;41;;DNF;;DNS;;;M
;1198;Veigar Thor Thorsteinsson;NTNUI;Menn Senior 19+;3:44.85;20;9:30.28;44;;DNF;;DNS;;DNS;;DNS;;;M
;1183;Herman Hegge-Samuelsen;NTNUI;Menn Senior 19+;4:17.40;33;;DN»F;;;DNS;DNS;;DNS;;DNS;;;M
