Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
2nd;67;Storm Rødby Eilertsen;Aron Sportsklubb;Gutter 15-16;;;;;5:40.25;4;3:24.30;1;5:56.60;1;1:15.43;23;16:16.58;+0:08.23;M
3rd;64;Sune Bjerke;SK Rye sykkel;Gutter 15-16;;;;;5:41.54;5;3:32.90;4;6:08.74;3;1:03.91;6;16:27.09;+0:18.74;M
4th;70;Bård Gujord Røisli;CK Nittedal;Gutter 15-16;;;;;5:42.93;6;3:36.55;7;6:11.28;4;1:01.08;4;16:31.84;+0:23.49;M
5th;69;Sixten Magnus Schybergson;SK Rye sykkel;Gutter 15-16;;;;;5:26.57;1;3:41.27;9;6:26.73;9;1:00.68;2;16:35.25;+0:26.90;M
6th;54;David Risberg;Sandefjord SK;Gutter 15-16;;;;;5:59.27;16;3:26.25;2;6:18.03;6;1:00.83;3;16:44.38;+0:36.03;M
7th;57;Aadne Førsund Hjelmtvedt;Re SK;Gutter 15-16;;;;;5:35.91;3;3:43.97;10;6:25.68;8;1:09.86;17;16:55.42;+0:47.07;M
8th;63;Tallak Hustoft;CK Nittedal;Gutter 15-16;;;;;5:51.81;10;3:35.70;5;6:21.18;7;1:10.72;18;16:59.41;+0:51.06;M
9th;55;Olav Holmøy Sevaldson;SK Rye sykkel;Gutter 15-16;;;;;5:55.21;12;3:46.72;11;6:18.00;5;1:04.53;8;17:04.46;+0:56.11;M
10th;62;Malte Andreas Torp Bure;Gresvik IF;Gutter 15-16;;;;;5:43.10;7;3:49.48;12;6:30.81;12;1:04.78;9;17:08.17;+0:59.82;M
11th;73;Torjus Sandvik-Are;SK Rye sykkel;Gutter 15-16;;;;;5:54.89;11;3:39.78;8;6:30.13;11;1:05.05;10;17:09.85;+1:01.50;M
12th;59;Even Stensland;Modum CK;Gutter 15-16;;;;;5:48.81;9;3:57.16;19;6:29.72;10;1:02.34;5;17:18.03;+1:09.68;M
13th;71;Tobias Haugen Opsahl;Asker CK;Gutter 15-16;;;;;6:09.80;17;3:49.65;13;6:38.76;13;1:10.95;19;17:49.16;+1:40.81;M
14th;76;Sindre Hynne-Øye;CK Nittedal;Gutter 15-16;;;;;6:15.30;19;3:52.77;16;6:53.65;15;1:07.38;13;18:09.10;+2:00.75;M
15th;77;Oliver Raastad-Hoel;Aron Sportsklubb;Gutter 15-16;;;;;6:32.35;24;3:55.53;18;6:52.95;14;1:04.08;7;18:24.91;+2:16.56;M
16th;61;Andreas Aaserød Staff;IF Frøy;Gutter 15-16;;;;;5:58.41;15;3:53.60;17;7:26.55;22;1:06.70;12;18:25.26;+2:16.91;M
17th;74;Sjur Undheim;Hafrsfjord SK;Gutter 15-16;;;;;6:10.71;18;3:57.92;20;7:07.54;21;1:09.28;16;18:25.45;+2:17.10;M
18th;81;Trym Vik;Bergen CK;Gutter 15-16;;;;;6:17.56;21;3:58.58;21;6:56.60;16;1:14.38;21;18:27.12;+2:18.77;M
19th;83;Samuel Aanesland;;Gutter 15-16;;;;;6:28.59;22;3:50.96;14;7:04.05;20;1:08.28;15;18:31.88;+2:23.53;M
20th;80;Ola Vangen Jordet;Savalen SK;Gutter 15-16;;;;;5:56.80;14;3:51.22;15;7:38.02;23;1:21.23;26;18:47.27;+2:38.92;M
21st;72;Ludvik Lærum Bentzen;SK Rye sykkel;Gutter 15-16;;;;;6:33.46;25;4:06.15;23;6:59.83;18;1:08.20;14;18:47.64;+2:39.29;M
22nd;56;Mikkel August Myrvold;SK Rye sykkel;Gutter 15-16;;;;;6:31.11;23;4:13.47;24;6:58.67;17;1:12.88;20;18:56.13;+2:47.78;M
23rd;75;Leif Martin Syversrud;Nes SK;Gutter 15-16;;;;;6:39.15;26;4:00.22;22;7:39.03;24;1:18.43;25;19:36.83;+3:28.48;M
24th;66;Vetle Tyskerud Breivik;;Gutter 15-16;;;;;6:16.22;20;5:17.66;29;7:03.05;19;1:15.41;22;19:52.34;+3:43.99;M
25th;68;Vetle Lie Karlsen;Re SK;Gutter 15-16;;;;;6:44.32;27;5:08.42;28;7:51.30;25;1:17.57;24;21:01.61;+4:53.26;M
26th;78;Eirik Orby Norheim;;Gutter 15-16;;;;;7:18.85;28;4:47.55;26;8:03.30;26;1:28.85;28;21:38.55;+5:30.20;M
27th;58;Jacob Vebostad;CK Nittedal;Gutter 15-16;;;;;5:55.25;13;3:36.05;6;11:10.78;28;1:06.53;11;21:48.61;+5:40.26;M
28th;79;David Syversen-Taje;;Gutter 15-16;;;;;7:36.91;29;4:47.72;27;8:06.66;27;1:25.25;27;21:56.54;+5:48.19;M
;65;Marius Melbø Nakken;Molde CK;Gutter 15-16;;;;;5:43.64;8;4:44.05;25;;DNF;;DNS;;;M
1st;303;Ken Morten Egenes;;Menn funduro;;;;;6:49.05;2;4:08.02;1;7:22.97;1;1:13.55;1;19:33.59;;M
2nd;304;Kristen Thorsen;IF Frøy;Menn funduro;;;;;6:38.20;1;4:32.54;3;7:28.57;2;1:20.91;3;20:00.22;+0:26.63;M
3rd;300;Andreas Søraas Goldenheim;;Menn funduro;;;;;7:25.60;3;4:28.80;2;7:39.16;3;1:19.03;2;20:52.59;+1:19.00;M
4th;301;Marvin Vollinger;;Menn funduro;;;;;7:29.65;4;4:39.85;4;7:50.85;4;1:27.80;4;21:28.15;+1:54.56;M
5th;302;Jonas Emde;;Menn funduro;;;;;7:47.08;5;5:05.75;5;8:35.23;5;1:36.87;5;23:04.93;+3:31.34;M
1st;307;Knut Johansen;Eidsvoll SK;Menn funduro El;;;;;6:21.00;1; 3:57.43;2; 6:49.53;1; 1:12.78;2;18:20.74;;M
2nd;306;Kristoffer Hansen;;Menn funduro El;;;;;6:49.73;2; 3:53.22;1; 7:07.68;2; 1:12.48;1;19:03.11;+0:42.37;M
3rd;305;Martin Slevigen;;Menn funduro El;;;;;10:33.45;3; 6:46.41;3; 8:44.87;3; 1:34.55;3;27:39.28;+9:18.54;M
1st;32;Vilje Eilertsen;Aron Sportsklubb;Jenter 13-14;;;;;8:03.25;2;;;8:37.04;1;1:25.58;1;18:05.87;;M
2nd;31;Sofie Langum;Aron Sportsklubb;Jenter 13-14;;;;;8:01.31;1;;;9:24.80;2;1:31.90;2;18:58.01;+0:52.14;M
1st;33;Theo Hjelseth;;Gutter 13-14;;;;;6:25.25;1;;;6:47.58;2;1:08.33;2;14:21.16;;M
2nd;86;Edvald Bang-Johansen;IF Frøy;Gutter 13-14;;;;;6:29.48;3;;;6:44.85;1;1:09.71;4;14:24.04;+0:02.88;M
3rd;38;Simen Østraat Hauken;Hafrsfjord SK;Gutter 13-14;;;;;6:27.44;2;;;6:49.75;3;1:07.80;1;14:24.99;+0:03.83;M
4th;49;Thomas Wiel Bjørkøy;CK Nittedal;Gutter 13-14;;;;;6:39.12;6;;;7:03.12;5;1:22.18;13;15:04.42;+0:43.26;M
5th;43;Aksel Bolstad;IF Frøy;Gutter 13-14;;;;;6:37.11;5;;;7:25.35;6;1:12.30;6;15:14.76;+0:53.60;M
6th;36;Sondre Loeng Svendsen;SK Rye sykkel;Gutter 13-14;;;;;6:45.40;7;;;7:27.65;7;1:10.88;5;15:23.93;+1:02.77;M
7th;39;Aksel Valen-Sendstad;CK Nittedal;Gutter 13-14;;;;;6:33.68;4;;;7:42.59;9;1:17.75;9;15:34.02;+1:12.86;M
8th;35;Daniel Krefting;SK Rye sykkel;Gutter 13-14;;;;;7:14.02;8;;;7:42.31;8;1:20.93;11;16:17.26;+1:56.10;M
9th;46;Tage Hodne;Bergen MTB Klubb;Gutter 13-14;;;;;7:22.91;12;;;7:52.07;11;1:13.73;7;16:28.71;+2:07.55;M
10th;44;William Goldenheim;;Gutter 13-14;;;;;7:16.00;10;;;7:55.15;12;1:20.93;11;16:32.08;+2:10.92;M
11th;84;Trym Remmen-Bottolfs;Modum CK;Gutter 13-14;;;;;7:18.20;11;;;7:58.71;13;1:16.90;8;16:33.81;+2:12.65;M
12th;37;Jonathan Thrones Kirkelund;Bærum OCK;Gutter 13-14;;;;;7:27.04;13;;;8:16.36;15;1:19.81;10;17:03.21;+2:42.05;M
13th;41;Tallak Sorteberg;Åsane CK;Gutter 13-14;;;;;7:28.00;14;;;8:12.63;14;1:26.80;15;17:07.43;+2:46.27;M
14th;40;Noa Valbjørk;Gresvik IF;Gutter 13-14;;;;;9:12.96;19;;;7:00.58;4;1:09.21;3;17:22.75;+3:01.59;M
15th;50;Sverre Granviken;SK Rye sykkel;Gutter 13-14;;;;;8:53.83;18;;;7:49.97;10;1:24.57;14;18:08.37;+3:47.21;M
16th;47;Emil Holtbakk Berntzen;Aron Sportsklubb;Gutter 13-14;;;;;7:58.65;15;;;8:43.95;16;1:30.25;16;18:12.85;+3:51.69;M
17th;48;Håkon Reiten;Bærum OCK;Gutter 13-14;;;;;8:07.59;16;;;9:34.25;18;1:31.75;17;19:13.59;+4:52.43;M
18th;45;Trym Teal;Sandefjord SK;Gutter 13-14;;;;;8:26.85;17;;;9:32.70;17;1:31.80;18;19:31.35;+5:10.19;M
;34;Marlon Nyheim-Thorsen;IF Frøy;Gutter 13-14;;;;;7:14.86;9;;;10:00.58;19;;DNF;;;M
;42;Herman Dahl Hugøy;CK Nittedal;Gutter 13-14;;;;;30:09.61;20;;;;DNF;;DNS;;;M
